"naics","est.total","emp.total"
"713930",12,1215.7619047619
"71394/",18.8661142,1641.87229584762
"713940",18.8661142,1641.87229584762
"72----",512.867711,9752.59263561667
"721///",61.5983426,4205.78643009583
"7211//",57.7322284,4352.73268693333
"72111/",50.7322284,4632.90729010794
"721110",50.7322284,4632.90729010794
"72119/",4,4
"721191",4,4
"722///",444.9701971,9805.66162792083
"7223//",13.9107428,663.897006755555
"72233/",4,244.875
"722330",4,244.875
"7224//",9,858
"72241/",9,858
"722410",9,858
"7225//",414.3718545,10538.6316912685
"72251/",414.3718545,10538.6316912685
"722511",252.0809702,8495.62067171627
"722513",104.7371703,5112.34717307321
"722515",51.3437999,3670.30636896508
"81----",288.0643962,4444.68338151786
"811///",60.6925417,3438.42559665397
"8111//",42.1834563,3235.56129806429
"81111/",20.2859424,2017.07407025556
"811111",19.330571,1901.05615586806
"81119/",6.8214856,1467.37734684444
"8113//",3,645.333333333333
"81131/",3,645.333333333333
"811310",3,645.333333333333
"8114//",5.4330571,246.3080571
"81141/",3,645.333333333333
"811412",3,645.333333333333
"812///",110.0809702,3796.8616401373
"8121//",74.9289136,3423.14450510536
"81211/",56.6743709,3478.39409591369
"812112",41.0313997,3221.9522957494
"812113",7.3437999,1579.73295626667
"81219/",13.8214856,851.5090285875
"812199",9.8214856,847.5090285875
"8129//",11.4330571,604.980790780952
"81299/",4,244.875
"812990",4,244.875
"813///",114.8131986,3840.76515273968
"8131//",53.5718848,2319.2131907506
"81311/",53.5718848,2319.2131907506
"813110",53.5718848,2319.2131907506
"8132//",4,244.875
"81321/",4,244.875
"8133//",3,645.333333333333
"81331/",3,645.333333333333
"8134//",5.4330571,1168.71094951111
"81341/",5.4330571,1168.71094951111
"813410",5.4330571,1168.71094951111
"8139//",26.8214856,1105.91901351111
"81391/",5.4330571,553.141505066667
"813910",5.4330571,553.141505066667
"81399/",14,26
"813990",14,26
"99----",14.1652855,255.0402855
"11----",1.4330571,308.266505066667
"22----",2.8661142,348.0537431625
"221///",2.8661142,348.0537431625
"2211//",2.3884285,232.513514475
"22112/",1.9107428,116.9732857875
"221122",1.9107428,116.9732857875
"237///",5.2545427,1130.31051857778
"23811/",1.4330571,308.266505066667
"238110",1.4330571,308.266505066667
"23813/",4.776857,426.672847954167
"238130",4.776857,426.672847954167
"23814/",1.4330571,1.4330571
"238140",1.4330571,1.4330571
"23816/",1.9107428,411.022006755555
"238160",1.9107428,411.022006755555
"23817/",4.776857,426.672847954167
"238170",4.776857,426.672847954167
