"NAICS","A_MEAN"
"811000",50016.3398685206
"811100",46907.558572961
"811110",50593.8608877714
"811120",53381.0771531918
"811190",34412.1648845151
"811200",59983.1034947531
"811300",60233.4519135291
"811400",46422.0089035931
"812000",40529.8779785458
"812100",40436.0140553457
"812200",47954.3722988421
"812300",37781.3891241328
"812900",39680.6812199001
"813000",64765.9810166376
"813100",54388.1795692987
"813200",85369.216355729
"813300",63756.9881284143
"813400",41119.4797850529
"813900",79479.5416108869
"813930",83141.9603541335
"990000",70590.8330448863
"999000",70590.8330448863
"999001",66354.8165640644
"999100",95770.0328624173
"999101",87201.0638622847
"999200",65068.6850215487
"999201",68704.7829225595
"999300",62999.6296492078
"999301",61811.2578606041
